cluster,m_l,b_l,m_r,b_r,max_rate_water
0,0.1884760366182014,1.143241787829833,-1.2773722627737225,0.02919708029197088,-0.76
1,0.3742514970059881,1.160179640718563,-2.192982456140351,0.06140350877192979,-0.428
2,0.3711558854718982,1.2216330858960764,-1.8518518518518514,-0.10582010582010559,-0.5971428571428572
3,0.26548672566371684,1.1424778761061947,-1.7307692307692308,0.07115384615384623,-0.5366666666666666
4,0.47619047619047616,1.1238095238095238,-3.571428571428571,0.07142857142857151,-0.26
5,0.47619047619047616,1.1142857142857143,-3.5714285714285716,0.1428571428571428,-0.24
6,0.3968253968253968,1.1686507936507937,-2.469135802469136,-0.04938271604938271,-0.425
